Metric,Direct_mean,CoT_mean,Cohens_d,t_stat,p_value,N_direct,N_CoT
effective_dim,4.32498861597181,19.467444705509003,4.219278278187224,-134.62231365684596,0.0,1974,2100
cos_to_running_mean,0.8514311903636627,0.6735332688263485,-3.3009080406313376,105.32085251808408,0.0,1974,2100
dir_consistency,0.32531242182921793,0.032144902363596885,-2.2920711344868923,74.28928345541445,0.0,2100,2100
tortuosity,0.31829363855400256,0.0161384560269791,-2.2515896817856635,72.97722203238112,0.0,2100,2100
radius_of_gyration,9.70544902642568,12.913268527076358,2.051443579967943,-66.49020238158765,0.0,2100,2100
msd_exponent,0.12757780328324983,0.18108829718096633,1.9938122497418609,-45.183991217569194,0.0,679,2100
speed,13.208979344595047,14.663443144843692,1.0703502551714374,-34.69157318313623,4.300960080737602e-232,2100,2100
