layer,regime,n,auc_geo,auc_sae,auc_fused,fusion_gain,auc_fused_length_ctrl,auc_geo_length_ctrl,fusion_gain_after_ctrl,loo_feature_density,loo_mean_activation,loo_activation_entropy,loo_active_feature_count,loo_activation_gini
0,CoT,400,0.7795367356428737,0.7183281019917849,0.7783296520189104,-0.0012070836239633786,0.7768406572115012,0.7780845539796946,-0.0012438967681933644,0.7782928388746804,0.7900759513291483,0.7788014415252267,0.7782928388746804,0.7751801906533364
0,Direct,400,0.8249976081132797,0.7359350025888656,0.8257122194457576,0.0007146113324778547,0.825191069539182,0.8303408016478692,-0.005149732108687188,0.8257122194457576,0.8248556426014723,0.826462990477477,0.8257122194457576,0.8257122194457576
13,CoT,400,0.7342846624815934,0.7591073781291173,0.7689791133844842,0.034694450902890805,0.7649839184685733,0.7264415252266915,0.0385423932418818,0.7670183290707586,0.7546655816476788,0.7669999224986437,0.7670183290707586,0.7660195303417809
13,Direct,400,0.9120970374372481,0.7553676751986673,0.9155258774003288,0.003428839963080632,0.9150356813218972,0.9123266585623917,0.002709022759505464,0.9155258774003286,0.9119138470543213,0.9155258774003286,0.9155258774003286,0.9150821120641138
24,CoT,400,0.8091877857862514,0.7810247616833295,0.8270799426489963,0.017892156862744923,0.8260811439200186,0.8078644501278773,0.018216693792141303,0.8270799426489963,0.8069809346663567,0.8270615360768814,0.8270799426489963,0.829114353251182
24,Direct,400,0.9039595574165371,0.8173237320186398,0.9190990747619369,0.015139517345399756,0.92193191283402,0.9084616510209136,0.013470261813106399,0.9195583170122239,0.9015240539384527,0.9193286958870803,0.9195583170122239,0.9218700051777311
