metric,layer,SS_regime,SS_quality,SS_interaction,SS_residual,SS_total,eta_sq_regime,eta_sq_quality,eta_sq_interaction,proportion_regime_of_explained
cos_slope,0,0.5259974639011524,0.26886310133400326,0.35627688339613867,1.712554144379352,2.863691593010646,0.18367811156234273,0.09388689130848167,0.1244117502966089,0.456937149014277
cos_slope,1,0.6896338078355624,0.3318468801559614,0.4424434706095978,2.2954799386508955,3.759404097252017,0.18344231957922766,0.0882711386090495,0.1176897878397822,0.4710857483864151
cos_slope,2,0.4116159816814371,0.18738154415265018,0.249193128873109,1.3138583656542238,2.1620490203614198,0.19038235387124994,0.0866684993670155,0.11525785332631011,0.48528709836296297
cos_slope,3,0.28554632473728,0.12944949886452886,0.17144598535055025,0.7386871686397575,1.3251289775921165,0.21548568446231128,0.09768822586594607,0.1293806023788595,0.4869133141229993
cos_slope,4,0.3903223036249871,0.1813899118902349,0.2439206304319571,0.8563629370451286,1.6719957829923078,0.23344694262711715,0.10848706302692236,0.14588591246050966,0.478551477621911
cos_slope,5,0.47242858690624795,0.21625445471878998,0.29389600422080114,0.9884535901110646,1.9710326359569037,0.23968582675288463,0.10971632370450428,0.1491076296045801,0.4808046628956601
cos_slope,6,0.5758145373037329,0.26129555529352183,0.35349918340892683,1.127172056399825,2.317781332406007,0.24843350373609238,0.11273520570738231,0.15251619230273628,0.48363014542878735
cos_slope,7,0.5671046464293547,0.25920590497667817,0.3511547034174264,1.1681080875166339,2.345573342340093,0.2417765567985075,0.11050854829296358,0.14970953884865187,0.4816317459103133
cos_slope,8,0.514738254249335,0.2351919806915703,0.31933280309845397,1.0880104788455667,2.157273516884926,0.2386059302265065,0.10902279143128052,0.14802610823293574,0.4813953498226014
cos_slope,9,0.5252716922079816,0.2274195637481478,0.308313510797445,1.0685484229818882,2.1295531897354625,0.24665816976998448,0.10679215003612957,0.14477849733151973,0.49507005874741705
cos_slope,10,0.44176785514451483,0.18958933549419354,0.257295613057072,0.892193394798042,1.7808461984938224,0.24806625946594751,0.10646025224106472,0.1444794128064982,0.4971208702738182
cos_slope,11,0.4557746249655869,0.19635649855125104,0.2685078358970283,0.8943706805129229,1.8150096399267892,0.2511141621176024,0.10818482405370107,0.1479374158629036,0.4950633690928747
cos_slope,12,0.5020906968608095,0.21560976893537412,0.29247293895725235,0.9465137323359015,1.9566871370893377,0.25660244161858836,0.11019123335992466,0.14947353279600914,0.4970341671025879
cos_slope,13,0.38126957074490025,0.1639370774154612,0.22591276426972165,0.7421628162887706,1.5132822287188537,0.25194875318643206,0.10833212358163388,0.1492866036370358,0.4944364836353666
cos_slope,14,0.4014275407042047,0.16983506435668044,0.23321354440326567,0.7765516976192421,1.581027847083393,0.2539028907332276,0.1074206660369609,0.14750755012537398,0.49899246978495193
cos_slope,15,0.3339785167362622,0.15362612113601096,0.21024200744343874,0.6953015667932285,1.3931482121089405,0.23972935100041315,0.11027263273263119,0.15091144331669887,0.47858439813115017
cos_slope,16,0.2384929727107744,0.12001100468467964,0.16661990704943902,0.537167679939319,1.0622915643842121,0.2245080171083009,0.11297369640155946,0.15684950595086863,0.4541651594516304
cos_slope,17,0.6413169384228972,0.3431289077733379,0.46628142106612014,1.3642491799541507,2.814976447216506,0.22782319868325776,0.12189405993525425,0.16564309855138812,0.44206581960309904
cos_slope,18,0.5714758594071754,0.30334101948774383,0.4132995973093082,1.2834082721136495,2.571524748317877,0.22223230003172142,0.11796154001090974,0.1607216098463224,0.4436523171345333
cos_slope,19,0.6350547740562694,0.35182509020787467,0.4758406402318568,1.5146750674727072,2.9773955719687084,0.21329203953788364,0.11816538370655313,0.15981774296695897,0.4341600272261758
cos_slope,20,0.5090997645440535,0.29335965952132925,0.3963606154995767,1.3314965412985915,2.530316580863551,0.20120002706155724,0.11593792719060116,0.15664467383140887,0.4246673793748068
cos_slope,21,0.42685201563276537,0.25569728478361003,0.34379688157999644,1.2604760545641465,2.2868222365605186,0.18665727873748927,0.11181336296965085,0.1503382624515153,0.41589477616848997
cos_slope,22,0.2815722418990354,0.18340660298405637,0.24663810345586856,0.9572454302231694,1.6688623785621297,0.168721067426563,0.10989917763145762,0.14778816193841507,0.395679505043092
cos_slope,23,0.24828815072618157,0.1604866801766007,0.21644305188782814,0.7751086226385304,1.400326505429141,0.1773073278007344,0.11460661463907541,0.15456613229033858,0.3971225992736598
cos_slope,24,0.15657036286040948,0.10715238077895532,0.14613221159210082,0.4395687542720679,0.8494237095035335,0.18432539745319904,0.12614715080367037,0.17203688801847947,0.38201407805838616
cos_to_late_window,0,3.4937338953706685,0.04890230260275688,0.03290595287699894,3.45187214691386,7.027414297764285,0.4971578090226119,0.006958790321827867,0.0046825121563514056,0.9771200416529006
