layer,regime,n,raw_auc,raw_std,Layer_wide_D0.25_auc,Layer_wide_D0.25_std,Layer_wide_D0.25_gain,Regime_D0.25_auc,Regime_D0.25_std,Regime_D0.25_gain,Bootstrap_auc,Bootstrap_std,Bootstrap_gain,Residual_auc,Residual_std,Residual_gain,Regime_D0.25_ci_low,Regime_D0.25_ci_median,Regime_D0.25_ci_high,Regime_D0.25_ci_excludes_zero
0,CoT,400,0.7795367356428737,0.024920001437631532,0.7991009842672246,0.056672367601307366,0.01956424862435091,0.8105963729365264,0.048872320565882046,0.031059637293652687,0.7960493683639465,0.06087530235335582,0.01651263272107273,0.7960493683639465,0.06087530235335582,0.01651263272107273,-0.009866702489447043,0.034733979083313826,0.09679068758104611,False
0,Direct,400,0.8249976081132797,0.03475801783193083,0.8925148015578216,0.027560988013503516,0.06751719344454188,0.8925612323000381,0.02885010292096925,0.06756362418675843,0.8934487629724679,0.028467322743141107,0.06845115485918818,0.8934487629724679,0.028467322743141107,0.06845115485918818,0.026323550539969487,0.0640697933395345,0.11800815790079786,True
13,CoT,400,0.7342846624815934,0.022094887234234174,0.7943152755173217,0.061802783525284934,0.06003061303572832,0.7899587305277842,0.059056402059028096,0.055674068046190794,0.795522359141285,0.061871733225877155,0.06123769665969159,0.795522359141285,0.061871733225877155,0.06123769665969159,-0.00934103380788652,0.050594234744045175,0.13440676516317002,False
13,Direct,400,0.9120970374372481,0.014718063308972611,0.9028812386033632,0.026112348463150952,-0.009215798833884903,0.9029870444159295,0.02197372248369479,-0.009109993021318652,0.8934487629724679,0.028403944818150128,-0.018648274464780235,0.8934487629724679,0.028467322743141107,-0.018648274464780235,-0.03067185951536849,-0.009267216666864364,0.014210378485643037,False
24,CoT,400,0.8091877857862514,0.049030808400487846,0.8108472835774627,0.06481293941116462,0.0016594977912113285,0.8094561342323491,0.06440004134557041,0.00026834844609768815,0.7952772611020693,0.06216496881469273,-0.01391052468418208,0.7950321630628536,0.061846933112881045,-0.014155622723397765,-0.03756378409149732,0.007589809165684969,0.0661626831236176,False
24,Direct,400,0.9039595574165371,0.03860661102242421,0.9036190653069494,0.03251606808592784,-0.00034049210958775333,0.9007088426645055,0.03283620124229794,-0.003250714752031647,0.893923482136827,0.028195195900626406,-0.010036075279710066,0.8936783840976116,0.027556126467372242,-0.01028117331892553,-0.028378070611501785,-0.0013776752991355723,0.03063592282502111,False
